COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
807,BUCARAMANGA,COMUNEROS,BUCARAMANGA,TRES,LOCAL,16,1040900,0,29072013,,10062017,INACTIVO
808,BUCARAMANGA,COMUNEROS,BUCARAMANGA,TRES,CASA,33,1015430,0,29072013,,28112013,INACTIVO
809,BUCARAMANGA,LAGOS DEL CACIQUE,BUCARAMANGA,CUATRO,CASA,38,7000000,1003172,13022013,,21102014,INACTIVO
810,BUCARAMANGA,LAGOS DEL CACIQUE,BUCARAMANGA,CUATRO,APARTAMENTO,41,7000000,1003172,13022013,,21102014,INACTIVO
811,BUCARAMANGA,LAGOS DEL CACIQUE,BUCARAMANGA,CUATRO,CASA,83,7782260,1003172,13022013,,15012013,INACTIVO
812,BUCARAMANGA,LAGOS DEL CACIQUE,BUCARAMANGA,CUATRO,APARTAMENTO,63,4107750,1003172,13022013,,13112015,VIGENTE
813,BUCARAMANGA,EL TEJAR,BUCARAMANGA,CUATRO,LOCAL,18,6363280,1185193,13022013,,15022013,INACTIVO
814,BUCARAMANGA,EL TEJAR,BUCARAMANGA,CUATRO,APARTAMENTO,88,3284485,1185193,13022013,,24042017,VIGENTE
815,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,40,677460,142000,26122014,,02022015,INACTIVO
816,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,34,676590,142000,26122014,,01032017,INACTIVO
817,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,SEIS,CASA,81,1277800,191500,09042013,,25112014,INACTIVO
818,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,SEIS,CASA,55,1283280,191500,09042013,,27072013,INACTIVO
819,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,SEIS,APARTAMENTO,80,1707700,191500,09042013,,25112014,VIGENTE
820,BUCARAMANGA,ANTIGUO CAMPESTRE,BUCARAMANGA,SEIS,APARTAMENTO,100,4718300,0,29072013,,19022014,INACTIVO
821,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,APARTAMENTO,71,850000,238000,23052017,,31072017,VIGENTE
822,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,LOCAL,21,1193120,238000,23052017,,19032013,INACTIVO
823,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,CASA,41,988860,275000,12042013,,20042017,INACTIVO
824,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,LOCAL,12,936450,275000,12042013,,05062013,INACTIVO
825,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,CASA,69,928620,275000,12042013,,08062018,INACTIVO
826,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,23,2122040,0,12042013,,02062016,INACTIVO
827,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,APARTAMENTO,25,2607370,0,12042013,,27042013,INACTIVO
828,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,TRES,LOCAL,27,700000,131220,30052013,,10062020,VIGENTE
829,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,TRES,CASA,57,742900,131220,30052013,,06022016,INACTIVO
830,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,TRES,LOCAL,29,760830,131220,30052013,,13092013,INACTIVO
831,BUCARAMANGA,CENTRO,BUCARAMANGA,CUATRO,LOCAL,12,1308937,200700,07062013,,06092013,VIGENTE
832,BUCARAMANGA,MUTIS,BUCARAMANGA,CUATRO,CASA,49,1000000,160000,07062013,,17072013,VIGENTE
833,BUCARAMANGA,MUTIS,BUCARAMANGA,CUATRO,LOCAL,18,1089200,160000,07062013,,17072013,INACTIVO
834,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,APARTAMENTO,30,750000,206400,30072013,,30012020,VIGENTE
835,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,18,750000,206400,30072013,,30102018,INACTIVO
836,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,APARTAMENTO,46,846000,206400,30072013,,03022016,INACTIVO
837,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,11,845370,206400,30072013,,18102013,INACTIVO
838,BUCARAMANGA,LA AURORA,BUCARAMANGA,CUATRO,LOCAL,21,1178100,311000,18022013,,05032013,VIGENTE
839,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,APARTAMENTO,93,1014150,265000,19022013,,09032013,INACTIVO
840,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,APARTAMENTO,58,803250,265000,19022013,,25102018,VIGENTE
841,BUCARAMANGA,LAS DELICIAS,BUCARAMANGA,TRES,LOCAL,19,743220,73000,22022013,,03072013,INACTIVO
842,BUCARAMANGA,CABECERA DEL LLANO,BUCARAMANGA,SEIS,CASA,72,1692000,682000,14042016,,19052016,INACTIVO
843,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,APARTAMENTO,97,800000,55000,08062013,,15022020,VIGENTE
844,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,86,956290,55000,08062013,,06072013,INACTIVO
